,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
行申,63,46,21.34759644468709,146.0,121.0,39.59587016579918,-8.946488044369973,4.710353895278819,3.903786447457103,721.3222018029537,453.9416331586537
華南,190,91,21.667674235285485,1050.0,563.0,40.41847784595424,-9.801759016885168,33.87583280851205,18.16389892494503,719.532290734148,292.06821958968146
卡最,51,48,20.260619720825094,99.0,93.0,38.49768642090353,-8.640737377507692,3.194007093373993,3.0004309058967813,715.5315849264999,674.8901348387294
邦銀行,76,56,21.077651418238577,208.0,151.0,40.534276522058725,-8.971267041342102,6.710641165876673,4.871667384843161,715.4331648750443,536.5937757038125
路銀行,57,38,21.89568163756866,122.0,80.0,40.808976464677016,-8.723779370209824,3.9360491453699713,2.5810158330294892,715.3830595877683,486.05065624398844
灣大,299,102,22.475740656789565,2240.0,1234.0,37.42907168493416,-10.47238228644339,72.26844332482571,39.812169224479874,711.3367387932699,97.13930117092868
息收入,57,46,20.932180283586046,123.0,98.0,39.68684437540837,-8.735664977443804,3.9683118432828404,3.161744395461125,708.7043709812714,580.412555130714
元大銀行,56,24,24.12814601866891,119.0,58.0,42.49238937638295,-8.861728075460801,3.8392610516313654,1.8712364789463798,708.6631127841051,261.68909193478015
展銀,94,27,25.96203236153684,309.0,123.0,44.44677310601772,-9.495686384630416,9.969173655076403,3.9683118432828404,708.3014119846414,133.67363259169576
行公會,84,48,22.310544234316705,252.0,158.0,41.46571036485672,-9.170732917381404,8.13019987404289,5.097506270233241,708.0055423397964,361.0832180787993
國內,897,497,13.810169348300727,11761.0,7756.0,25.484931079808078,-10.72697088552824,379.44159015324783,250.229485012209,705.9497813482002,243.35935896750297
商銀,132,81,21.089196258202353,568.0,362.0,40.53980434460061,-9.476533952415659,18.325212414509377,11.67909664445844,705.1463874096858,411.45199738615224
家金,89,63,21.0555297229823,281.0,224.0,39.840327336188324,-9.247850220725834,9.065818113516082,7.22684433248257,704.7872959568348,430.4292094865922
全額退,59,36,22.319940427351593,132.0,92.0,40.54070527077229,-8.917608533855258,4.258676124498658,2.9681682079839127,703.6488458007128,367.60110447957413
灣銀行,113,71,21.286747587266394,433.0,292.0,40.56078263860441,-9.393412820489294,13.969748196272112,9.420707790557637,702.0162879476087,402.5185063925467
化服務,86,50,22.184553426725994,265.0,200.0,40.234160334405175,-9.365633256382218,8.549614946910184,6.452539582573724,701.6178134478148,293.8968888976422
中國信託銀行,71,48,21.619814576103177,187.0,116.0,41.49664286343185,-8.861728075460801,6.033124509706432,3.7424729578927596,699.5869062839355,523.3781838695603
中華電,279,75,24.28250804705334,2027.0,646.0,42.57522965933491,-10.13265028550862,65.39648866938468,20.841702851713126,697.6897533969329,140.73327745199308
金流,164,102,20.46118505009014,835.0,602.0,38.73703590690396,-9.754623527286878,26.939352757245295,19.42214414354691,697.3300803431694,351.0993548111844
行推出,49,42,20.7494838669979,94.0,83.0,38.771698776568094,-8.660509884775557,3.0326936038096504,2.677803926768095,696.7381256935794,577.426557846557
付金,64,52,20.78047206514178,155.0,118.0,40.14343834756967,-8.798779801146566,5.000718176494636,3.806998353718497,696.0830690381827,610.077859742156
透過,1057,677,11.639536972968697,14858.0,10860.0,22.488958172717048,-10.75450921583798,479.3591655894019,350.3728993337532,696.0729188693101,304.4906243961917
盛銀,73,32,23.879033565069395,198.0,95.0,43.133145152060116,-9.067479884063141,6.388014186747986,3.0649563017225185,694.6065747928087,273.1643362584637
可使,102,87,19.762952599774803,366.0,337.0,38.60711535228161,-9.333513706960105,11.808147436109914,10.872529196636723,688.894707058836,533.0306965475576
李紀珠,77,17,27.499893622074996,220.0,58.0,47.010677579567925,-9.206568561752531,7.097793540831097,1.8712364789463798,688.4278106641189,122.31457020591851
年底,516,330,15.798297035889679,5333.0,3966.0,29.968291345773192,-10.465759549881543,172.05696796932833,127.95385992243693,687.5444260039488,319.0419010804996
月底,473,328,15.652111279032905,4683.0,3557.0,30.590500016059604,-10.362998058826639,151.08621432596374,114.75841647607368,685.8897475809022,396.24085396187246
續約,68,33,23.398172687752307,176.0,117.0,41.03994174671827,-9.245005268593603,5.678234832664876,3.774735655805628,684.0158126657907,226.2717588381028
管理,900,491,13.91084879724913,11972.0,7045.0,26.52763501299428,-10.642968191800588,386.2490194128631,227.2907067961594,683.3417220203169,305.96319709822933
家樂,98,26,26.367985024112112,344.0,151.0,43.75207802165276,-9.73852219405577,11.098368082026804,4.871667384843161,680.4508171103798,91.63319328523326
獲利,775,278,17.99737406606286,9714.0,4963.0,29.56062546390509,-10.861483457159132,313.39984752560576,160.11976974156696,679.8813159823734,86.78346657760568
南亞科,121,13,31.38066769336373,503.0,154.0,46.04014273858297,-10.45134214021442,16.228137050172915,4.968455478581768,676.4265813160843,12.983050301567
華南銀,89,60,21.323321192527846,291.0,175.0,41.697569751565815,-9.04978030696374,9.388445092644767,5.645972134752008,675.0851298829286,523.2686727218361
華南銀行,82,56,21.378098722153677,251.0,158.0,41.44045948689049,-9.016582237554145,8.097937176130023,5.097506270233241,674.4328550389256,508.300280676337
第三,461,260,17.25324499545775,4552.0,3482.0,30.69949013917572,-10.574019384574934,146.85980089937794,112.33871413260853,671.9610409835199,194.0903054869711
授信,120,57,22.781232140953392,501.0,227.0,43.214714885933574,-9.36123764490918,16.16361165434718,7.323632426221176,667.0536124746244,336.9559464084794
用金融,49,37,21.369530433463606,98.0,82.0,39.13086926608237,-8.775140229882355,3.161744395461125,2.6455412288552265,664.5526690529952,446.119994118932
玉山金,101,32,25.344424767852853,370.0,148.0,44.356829268692124,-9.510815266226716,11.937198227761389,4.774879291104556,664.4928322521968,155.23056237144516
註冊,153,90,20.983084986623535,769.0,473.0,40.167973736247994,-9.638624613423996,24.810014694995967,15.260256112786855,662.3402901817516,366.0508234619715
華電,280,76,24.207730202220308,2106.0,678.0,42.34586307563534,-10.167752842916393,67.94524180450131,21.874109184924922,661.8155926611536,133.93057663552503
承作,76,39,23.00625767120081,222.0,132.0,41.8119198564406,-9.198579171719052,7.162318936656833,4.258676124498658,661.6050438533543,283.4119217658436
資額,82,65,20.572305187779488,255.0,200.0,39.998944215928475,-9.103268991914726,8.226987967781497,6.452539582573724,661.5370443739057,531.2334899250395
