,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
報元,259,130,32.038197871554004,262.0,133.0,42.844216560704496,-9.776583382052356,49.845625200260756,25.30331355585756,877.6207003546813,433.20002845420163
國際股市,427,330,27.90729472590785,592.0,467.0,38.88784567337528,-10.101005307494557,112.62828289524568,88.84697316229685,877.4845356322443,654.549955762191
億元三大法人,266,172,30.32538937380301,274.0,180.0,41.135148901309144,-9.799231078362943,52.128630934623835,34.24508601544632,877.4633380121479,554.1354551812904
億元台,378,308,27.90371824750576,488.0,410.0,38.80631426868955,-10.039826081010965,92.84223319743224,78.00269592407217,875.8401124939396,678.1657897271457
金新台幣,254,234,28.10038871808539,254.0,234.0,38.94853122298661,-9.753768704286186,48.32362137735203,44.51861182008022,875.4056818918998,806.476100640569
為人民幣,254,207,28.90188107951564,254.0,207.0,39.75002358441685,-9.753768704286186,48.32362137735203,39.381848917763264,875.4056818918998,713.421165951273
較第,435,283,29.067798389066283,611.0,420.0,39.8407803208714,-10.148576517920363,116.24304197465389,79.90520070270807,874.0824101259053,516.2054176557418
股票,1832,1016,24.09344532416709,4891.0,2484.0,34.140360758425516,-10.647765519201128,930.5150872308219,472.58218701315917,873.3604205912912,624.8710332012117
台股開,362,331,27.233368116385964,456.0,410.0,38.44027399931584,-9.967807488607477,86.75421790579733,78.00269592407217,873.274434251878,820.5823543841681
指數上漲,524,297,29.481921758297702,818.0,482.0,40.347261345313136,-10.237980679534086,155.62489089241717,91.7007303302507,871.9699029625829,459.6232764465619
盤漲,432,348,27.577930535567546,606.0,504.0,38.44619722791221,-10.124142492583081,115.29178958533593,95.8862408432497,870.0020262051416,662.8828807675857
國際油價,629,427,27.520839294244613,1082.0,746.0,38.32319473126388,-10.311710291261322,205.8510170484051,141.92685648623865,869.8284047382921,572.5956254142588
萬日圓,252,127,32.05676502295489,252.0,127.0,42.891789564123904,-9.753768704286186,47.94312042162485,24.161810688676017,868.5127237667667,437.7028409459499
股也,474,407,26.81840288096511,703.0,610.0,37.77469553581492,-10.158414476010948,133.74608593810424,116.0527914967903,865.6158064170783,729.4118223614756
點為點,272,268,27.49851211245429,287.0,279.0,38.50493100168887,-9.793993505596696,54.60188714685052,53.0798833239418,865.5733701108318,870.2102125988673
達億,1347,1063,22.852023778797907,3243.0,2550.0,32.424735562011826,-10.62876696409671,616.9822997116245,485.1387185521562,863.7619636469576,688.3055254651763
點大,503,410,26.98776117850221,772.0,637.0,37.91152507753628,-10.194381200159995,146.873368910692,121.18955439910725,863.5069673395875,688.2727962963836
額為,673,460,27.211614563487643,1202.0,842.0,37.848334479045704,-10.358322229045372,228.68107439203598,160.19090236114332,863.295347803783,561.1148554765151
元年,1697,1049,23.607140761750337,4436.0,2869.0,32.435158547843145,-10.759894911871253,843.9511198028881,545.8286209906415,862.2447140961259,463.8478579497582
日圓升,250,186,29.52931870760097,250.0,186.0,40.35112075832865,-9.753768704286186,47.56261946589767,35.38658888262786,861.6197656416335,641.0451056373756
法人表示,547,443,26.735735721843252,880.0,743.0,37.362969387448025,-10.27089497895881,167.4204205199598,141.35610505264785,860.5918962022132,643.6866616063062
夏普的,533,235,31.255304348741568,846.0,420.0,41.589251371026776,-10.334437901419442,160.9519042725977,79.90520070270807,860.0071316953813,301.03668544132745
名個,308,110,34.009134750199806,354.0,151.0,43.935354247561634,-10.070568175308694,67.3486691637111,28.72782215740219,859.8991450373272,229.92229815015472
分行,1315,367,31.48609453453366,3143.0,985.0,40.924153456608565,-10.741048497403705,597.9572519252654,187.39672069563682,859.8445807139864,172.13395099518488
離岸人民幣,249,149,30.95674374775871,249.0,149.0,41.77189483258695,-9.753768704286186,47.37236898803407,28.34732120167501,858.1732865790675,513.5253803224138
盤漲點,259,197,29.31272588332553,266.0,203.0,40.15917274323644,-9.783770954589984,50.60662711171512,38.6208470063089,858.1444830908813,649.4926457439276
證指數,305,205,29.77608003991665,349.0,242.0,40.61112383642706,-9.919696451304464,66.39741677439314,46.04061564298894,857.4308382414173,548.8216332964652
值角,250,165,30.31059755009198,251.0,166.0,41.1181493864533,-9.759811018742148,47.752869943761254,31.58157932535605,856.5747286845344,563.6347312442576
億美元新台幣,248,245,27.69842409330386,248.0,245.0,38.506897447710266,-9.753768704286186,47.18211851017048,46.61136707657971,854.7268075165008,844.3873703288011
漲勢,587,473,26.51080492315637,984.0,776.0,37.55648403441007,-10.248825835977472,187.20647021777322,147.63437082214634,853.7892214398349,717.0606144136477
