,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
前景,100,94,19.7447655730628,1214.0,1050.0,36.10622915323661,-10.479144207845838,42.70803363275768,36.93857933640492,76.85601820139993,88.14647955176744
交金額新台幣,51,51,20.388502106871766,454.0,454.0,37.69093167162316,-10.252165112281295,15.971538113074127,15.971538113074127,76.82373065618617,76.82373065618617
成交金額新台,51,51,20.388502106871766,454.0,454.0,37.69093167162316,-10.252165112281295,15.971538113074127,15.971538113074127,76.82373065618617,76.82373065618617
日再,51,46,20.89738876802976,454.0,435.0,37.995238633321925,-10.312598181563862,15.971538113074127,15.303125725082038,76.82373065618617,61.575530854175774
運成,52,50,20.566825426581183,468.0,431.0,38.223391714650795,-10.219978631639876,16.464052504226192,15.162407327610017,76.70065216921783,80.04387673963535
仍維持,57,54,20.560063624838943,538.0,501.0,37.87191360844547,-10.293515601484865,18.92662445998652,17.624979283370347,76.58956450874332,75.07198226233702
公司股,60,52,20.961443978670253,581.0,473.0,38.69504184518149,-10.27374521687478,20.43934723281072,16.639950501066213,76.57021672657906,75.14043389052942
經濟數據,54,46,21.139583379990828,496.0,414.0,38.824105405306284,-10.263118124300494,17.449081286530323,14.564354138353938,76.56389679552692,67.85057691892347
季新高,35,25,22.07985278435517,253.0,183.0,40.53116434090072,-10.056503874937494,8.900438640105184,6.437866684344858,76.53410474732111,53.519715477490905
周一,87,70,20.86554838697268,999.0,765.0,37.74136509318013,-10.45727413874145,35.14441976863668,26.912393516523586,76.51289219835283,68.98464201391248
產品組,47,43,20.87839852177468,402.0,353.0,38.807321673598615,-10.171161488204008,14.142198945937883,12.418398576905654,76.3413875194022,75.31038239827882
儀表,36,27,21.863645134689,265.0,206.0,40.03967140167607,-10.097932849749526,9.32259383252124,7.2469974698089645,76.33969822239514,53.84038156260305
與產,60,56,20.583912433711628,582.0,526.0,37.92171518514052,-10.305843068966835,20.474526832178725,18.504469267570464,76.30276596599212,75.97704125297277
件等,34,33,20.682688346491528,242.0,233.0,38.68798126792739,-10.020424439063493,8.513463047057135,8.196846652745092,76.29839493791637,75.05281506778162
月增年增,39,35,21.035206929183786,301.0,260.0,39.25336848355086,-10.071227116490387,10.58905940976941,9.146695835681218,76.22787954866988,73.07484016308749
擴增實境,38,25,22.47846230394126,289.0,198.0,40.83129977877075,-10.135284752790609,10.166904217353354,6.9655606748649275,76.19637249298758,46.6927239533787
減緩,68,61,20.643255708450592,701.0,618.0,37.66204589592737,-10.381508140248654,24.660899156971286,21.740992409426894,76.16420025590389,70.89233315441398
億元的,92,79,20.410991611557037,1084.0,926.0,36.60537154933543,-10.527319929143431,38.13468571491708,32.576309014772335,76.08485630958783,66.1572519991326
廠產,32,30,20.83130114104188,220.0,194.0,39.29091482612709,-9.932554324365446,7.739511860961032,6.824842277392908,76.0475977449263,78.69602162775297
將進入,41,40,20.63137136363045,326.0,307.0,38.59257026944478,-10.103861840437535,11.468549393969527,10.800137005977438,76.04332029602583,78.94640580927731
