,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
會因,106,102,25.97404469563613,1086.0,997.0,36.02352573632105,-11.491017923896585,120.0987105969704,110.25636691084668,-1.6550855501203012,-0.6182644728503006
說法,218,191,25.276002323093323,2151.0,1812.0,33.922759476118706,-11.461153025775314,237.87507043654082,200.38569392422684,-1.6606129601245465,-0.43960848059632035
操作,276,200,25.90511617296637,2698.0,1945.0,34.17849207166622,-11.48593985672353,298.3667782602451,215.09391538776006,-1.6767039972078217,-1.0591944515127112
晚上,194,151,26.287147222139602,1927.0,1566.0,34.742176573152534,-11.550240006954843,213.1033290242744,173.18101362325567,-1.7124893425203815,-2.840942867012908
阿拉,117,75,28.198649374658707,1194.0,736.0,38.90494417797321,-11.494981972411585,132.0422287778846,81.39286464030407,-1.7136082047421213,-0.5021167210400986
永續,202,122,27.801916764092283,2003.0,1167.0,37.42896943479003,-11.469410554772319,221.5080270034362,129.05634923265603,-1.7180556511430296,-0.38581646535997116
證券,543,314,25.26147587150795,5195.0,2542.0,34.136622814433515,-11.302553433060165,574.5053421282332,281.1150297767024,-1.7277238518618954,3.8468994967866865
父親,198,113,28.195659635963413,1966.0,1050.0,38.254686200060185,-11.440397591658247,217.41626614516005,116.11753786999901,-1.7339612978542573,-0.08370003833321944
意外,359,268,24.919368435399853,3480.0,2404.0,33.2162533064588,-11.40514228236326,384.84669694056817,265.8538676566454,-1.7358905456339226,0.017324871275302935
國駐,114,100,26.42133033229362,1167.0,1021.0,36.15606462420658,-11.534607599395594,129.05634923265603,112.91048206216094,-1.7565478456780954,-1.4762185408580242
障礙,150,108,27.222820844013626,1512.0,931.0,38.085440935996324,-11.365368017371866,167.20925453279855,102.95755024473246,-1.771184510104704,0.24695905714499597
法人預,123,86,27.647937162371456,1254.0,906.0,37.45053204015942,-11.565931977008491,138.67751665617024,100.19284696211342,-1.772345903149395,-2.0104918763925617
男子,219,106,29.056225991202425,2167.0,1151.0,37.891226770820325,-11.596187281828835,239.644480537417,127.28693913177987,-1.7784452022597077,-3.5599393047779473
朴槿惠,106,40,31.275552421700095,1091.0,259.0,46.82067499631473,-11.07918857480462,120.65165125349421,28.64232600793309,-1.7792618851356274,4.503710993106662
件事,162,133,26.30383923641893,1627.0,1332.0,35.414231058947635,-11.5153276900976,179.9268896328461,147.3033908979416,-1.7861330930803652,-1.3888817489684644
作戰,112,76,27.9091716374628,1149.0,653.0,39.68288872868474,-11.362083756209119,127.06576286917034,72.21404974200891,-1.7862971559362724,0.19848518961601253
中說,103,89,26.61059139067688,1063.0,963.0,36.20351575226481,-11.592657009285004,117.55518357696089,106.49637044648479,-1.8021610150464864,-2.8744921307384406
會持續,124,114,26.046001657331534,1265.0,1139.0,35.627121464002144,-11.512947482271706,139.89398610052262,125.95988155612272,-1.8057873766073398,-1.1355898804394486
範圍,307,251,24.79372816797473,2998.0,2435.0,32.55993464541261,-11.483489063603924,331.5432176516734,269.28209972709294,-1.8168657979614438,-1.2412082747798918
說這,441,412,22.61558876647309,4253.0,3843.0,29.55527184183877,-11.444225208434336,470.3313224391484,424.99018860419636,-1.8291923905208305,-0.3970562250549961
多名,127,110,26.36172301277645,1295.0,1162.0,35.56641192504188,-11.568657538838458,143.21163003966544,128.50340857613222,-1.8351648428985141,-2.664334998806211
家庭,474,306,24.975819556692905,4562.0,2697.0,33.114545675528404,-11.387550188406369,504.50305501231946,298.25619012894026,-1.8442630938317455,0.20105732354858372
