,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
示年,721,685,32.69575016140039,1311.0,1234.0,35.12821270195804,-11.431076036134167,740.8822301037488,697.3674080457865,-0.533557234653962,-0.2193288358565549
後短暫,890,73,51.04823283948619,1614.0,105.0,56.6860193087708,-11.205979578940191,912.1158805396267,59.33839371540323,-0.5362390705813274,3.1453410614801594
午後短暫,886,69,51.4575235557115,1607.0,98.0,57.23494729324153,-11.193339644004372,908.1599876252666,55.382500801043015,-0.5407252667407715,3.3482829729874135
年前,2957,2392,27.538628455853953,5304.0,4312.0,29.150245996671767,-11.43175066744937,2997.4365739666546,2436.8300352458923,-0.5455049585909659,-0.8247321442527898
他在,1187,1079,31.17505756645009,2146.0,1948.0,33.28609407056956,-11.433247188875404,1212.7637420310032,1100.8684853105285,-0.5473204552837885,-0.4344121538204484
新增,1178,882,32.772901284015745,2130.0,1574.0,35.104358920637736,-11.421662042901616,1203.7217010838942,889.5107781718541,-0.5496336121991163,-0.06341889286911058
服務業,749,409,36.78908882544605,1362.0,749.0,39.39454931801251,-11.447502497405477,769.703735622659,423.2805418365431,-0.5568956585434823,-0.4817936450856503
會計,817,468,36.17034984967617,1484.0,863.0,38.629587884434265,-11.45442506509684,838.6492978443656,487.70508358469516,-0.5588654260592154,-0.79615803104991
總部,1085,763,33.59691754954336,1964.0,1394.0,35.81791239848072,-11.44515322996707,1109.9105262576377,787.7878175168771,-0.5590849926658099,-0.7799510015104245
成本,2793,1859,29.616281917148708,5013.0,3420.0,31.184800343804323,-11.452080512266265,2832.9844542411083,1932.7362524445623,-0.5643365174721919,-2.813128236039114
發布,3873,3233,25.574685440376633,6937.0,5832.0,26.9946224512004,-11.43242816589412,3920.289878130973,3295.823925221254,-0.5704508194961554,-1.1975292581628842
藥物,810,380,37.733228082859625,1472.0,692.0,40.42344833429296,-11.441893372828297,831.8677671340339,391.068270962467,-0.5748500643026883,-0.3132614717043819
別為,907,787,32.6014904144748,1646.0,1441.0,34.802023528499724,-11.447343017513179,930.1999624338449,814.34881279901,-0.5786264014927806,-0.9184732018512797
犯罪,1321,613,36.21643344610092,2387.0,1231.0,37.7234446507049,-11.5396958601793,1348.9594837968334,695.6720253682035,-0.5795079419176437,-9.824548823655022
專利,1224,367,40.03942232052477,2214.0,634.0,43.174542846053676,-11.389165776313714,1251.1924160562166,358.29087252919663,-0.5909782392264483,0.2116964374986165
兩年,1229,1008,31.861519518635394,2223.0,1853.0,33.85671997951195,-11.451316447585105,1256.2785640889654,1047.1813671870684,-0.5923209071830465,-1.466011125438252
當前,643,563,33.66633263640795,1173.0,1035.0,36.069194930608255,-11.451355747490839,662.8946269349332,584.9070237661175,-0.597072543354644,-0.8205025256819934
延續,956,847,32.24342447479189,1735.0,1551.0,34.39778951079672,-11.447433138455544,980.496315202139,876.5128443103848,-0.6120058272313224,-0.9937195843083142
對大,740,598,33.8411340944675,1348.0,1100.0,36.19108413264613,-11.45195337476689,761.7919497939386,621.6403151137481,-0.6233842139576221,-0.8990158538463607
下周,799,549,34.83927996030873,1454.0,959.0,37.66100231861837,-11.400271303304967,821.6954710685361,541.9573292673495,-0.6268555993778835,0.09151866460701588
上看,715,590,33.79022144543641,1304.0,1098.0,36.059605852807906,-11.46360175510077,736.9263371893887,620.5100599953595,-0.6523912069371676,-1.500159015838352
治療,1539,675,36.088756368802756,2780.0,1341.0,37.61413205687529,-11.528936862340208,1571.0546145601998,757.8360568795783,-0.6540182022192826,-9.054481186353861
的車,602,457,34.91289963913528,1101.0,842.0,37.43780832105136,-11.453575293279181,622.2054426729425,475.83740484161444,-0.6561496984914084,-0.7457333483167273
約有,901,811,32.33936932915368,1638.0,1490.0,34.500925410244605,-11.45074201475515,925.6789419602903,842.0400631995315,-0.6579496936482171,-1.144227650843494
戶的,657,546,33.993034878320096,1200.0,1013.0,36.344758937028715,-11.460531198434838,678.1530710331798,572.4742174638425,-0.659810348500004,-1.2243069974886511
浪晴時多雲,756,162,43.89848056412617,1378.0,322.0,46.39684562066889,-11.529433880243083,778.745776569768,181.9710740605699,-0.66436360533566,-2.191797796390489
日晚間,663,591,33.44058421310525,1211.0,1089.0,35.79982712273919,-11.45367777545792,684.3694741843173,615.4239119626106,-0.6672629977520206,-0.9692952515527162
泰國,2202,822,35.92553190652957,3965.0,1303.0,39.376544485936506,-11.303162851999724,2240.7307722054647,736.3612096301944,-0.6694569174658751,9.959789190534222
激烈,777,676,33.11962130266518,1416.0,1252.0,35.33958509899889,-11.45878314554814,800.220623819152,707.5397041112842,-0.6738108897733529,-1.4059323167974471
多雲午後,659,64,50.06496675542738,1204.0,92.0,55.77483925044282,-11.205384163620428,680.413581269957,51.99173544587712,-0.6739157997834356,2.7734872930316614
入學,578,267,38.67625346672498,1059.0,502.0,41.37526581998691,-11.473830131222538,598.4700851867811,283.6940347155469,-0.7001592860289758,-0.9823639589860281
的表現,548,500,33.812496387809226,1005.0,919.0,36.31866940931964,-11.451156693864554,567.953196990288,519.3522268995769,-0.700990983487758,-0.7211073074788648
